City,MedicalSales,MedicalTickets,RecSales,RecTickets,TotalSales,TotalTickets,Month,MonthYear,Year,acquired_datestamp,border
Fort Sumner,9620.4,0,25168.85,0,34789.25,0,July,July 2022,2022,2022-11-04-145018,
Roswell,530776.62,0,472437.59,0,1003214.2,0,July,July 2022,2022,2022-11-04-145018,Texas
Los Ranchos,3111.0,0,13799.13,0,16910.13,0,July,July 2022,2022,2022-11-04-145018,
Grants,165644.32,0,191364.62,0,357008.94,0,July,July 2022,2022,2022-11-04-145018,
Sunland Park,182463.39,0,1200598.97,0,1383062.36,0,July,July 2022,2022,2022-11-04-145018,Texas
Belen,81504.45,0,128461.98,0,209966.43,0,July,July 2022,2022,2022-11-04-145018,
Espanola,270425.79,0,310571.11,0,580996.9,0,July,July 2022,2022,2022-11-04-145018,
Corrales,34120.2,0,38408.0,0,72528.2,0,July,July 2022,2022,2022-11-04-145018,
Farmington,200520.46,0,564765.1,0,765285.56,0,July,July 2022,2022,2022-11-04-145018,
Peralta,875.0,0,5497.18,0,6372.18,0,July,July 2022,2022,2022-11-04-145018,
Logan,5558.93,0,20091.59,0,25650.52,0,July,July 2022,2022,2022-11-04-145018,Texas
Truth Or Consequences,196681.25,0,143766.31,0,340447.56,0,July,July 2022,2022,2022-11-04-145018,
Anthony,65697.89,0,419106.96,0,484804.85,0,July,July 2022,2022,2022-11-04-145018,Texas
Chaparral,31286.62,0,128139.33,0,159425.95,0,July,July 2022,2022,2022-11-04-145018,Texas
Clovis,428416.98,0,735346.34,0,1163763.32,0,July,July 2022,2022,2022-11-04-145018,Texas
Los Alamos,20856.3,0,44256.08,0,65112.38,0,July,July 2022,2022,2022-11-04-145018,
Las Vegas,214710.66,0,221380.77,0,436091.43,0,July,July 2022,2022,2022-11-04-145018,
Clayton,14017.71,0,164709.09,0,178726.8,0,July,July 2022,2022,2022-11-04-145018,Texas
Estancia,5184.3,0,16519.48,0,21703.78,0,July,July 2022,2022,2022-11-04-145018,
Alamogordo,601524.77,0,504578.34,0,1106103.11,0,July,July 2022,2022,2022-11-04-145018,
Hobbs,363105.48,0,1258993.66,0,1622099.14,0,July,July 2022,2022,2022-11-04-145018,Texas
Cedar Crest,40470.5,0,45938.0,0,86408.5,0,July,July 2022,2022,2022-11-04-145018,
Tatum,12549.21,0,35674.97,0,48224.18,0,July,July 2022,2022,2022-11-04-145018,
Tularosa,31603.92,0,30730.85,0,62334.77,0,July,July 2022,2022,2022-11-04-145018,
Edgewood,97684.09,0,173793.31,0,271477.4,0,July,July 2022,2022,2022-11-04-145018,
Placitas,38474.96,0,19454.55,0,57929.51,0,July,July 2022,2022,2022-11-04-145018,
